pmid,title,abstract,reviewer1_decision,reviewer2_decision,reviewer2_reason,adjudicator_decision,adjudicator_reason
33392066,Dysregulation of the Immune Microenvironment Contributes to Malignant Progression and Has Prognostic Value in Bladder Cancer.,"The malignant progression from non-muscle-invasive bladder cancer (NMIBC) to muscle-invasive bladder cancer (MIBC) is common and has detrimental effect on patients. We aimed to elucidate the underlying mechanisms of the malignant progression from an immunological perspective and establish a reliable signature for prognostic prediction and immunotherapeutic strategies.The Cell Type Identification by Estimating Relative Subsets of RNA Transcripts algorithm was applied to the GSE32894 data set to identify the different tumor-infiltrating immune cells involved in NMIBC and MIBC. Using weighted gene correlation network analysis, survival analysis and least absolute shrinkage and selection operator Cox analysis, we established an immune prognostic signature (IPS) based on 14 overall survival-associated immune genes in The Cancer Genome Atlas (TCGA). Functional enrichment analyses and nomogram were performed to explore the potential effects and prognostic performance of the IPS. Furthermore, the RNA-sequence data from our center were used to validate the expression levels of the selected immune genes in BLCA samples.Diverse proportions of macrophage subtypes were observed between NMIBC and MIBC. Patients with high risk scores had a worse prognosis than patients with low risk scores in training (TCGA) and validation data sets (GSE32894, GSE13507, and GSE48277). The IPS was a useful prognostic factor for patients treated with immunotherapy in the IMvigor210 trial. Hallmarks of multiple oncogenic pathways were significantly enriched in the high risk group. A novel nomogram model was established for prognostic predictions. The dysregulated expression of the selected immune genes between NMIBC and MIBC was also validated in BLCA samples.Dysregulation of the immune microenvironment promoted the malignant progression from NMIBC to MIBC. The IPS can stratify patients into different risk groups with distinct prognoses and immunotherapeutic susceptibility, thus facilitating personalized immunotherapy.Copyright © 2020 Zheng, Mao, Zhang, Liu, Li, Wang and Yao.",exclude,include,,include,14-gene immune prognostic signature
33837006,Myeloid Cell-associated Resistance to PD-1/PD-L1 Blockade in Urothelial Cancer Revealed Through Bulk and Single-cell RNA Sequencing.,"To define dominant molecular and cellular features associated with PD-1/PD-L1 blockade resistance in metastatic urothelial cancer.We pursued an unbiased approach using bulk RNA sequencing data from two clinical trials to discover (IMvigor 210) and validate (CheckMate 275) pretreatment molecular features associated with resistance to PD-1/PD-L1 blockade in metastatic urothelial cancer. We then generated single-cell RNA sequencing (scRNA-seq) data from muscle-invasive bladder cancer specimens to dissect the cellular composition underlying the identified gene signatures.We identified an adaptive immune response gene signature associated with response and a protumorigenic inflammation gene signature associated with resistance to PD-1/PD-L1 blockade. The adaptive immune response:protumorigenic inflammation signature expression ratio, coined the 2IR score, best correlated with clinical outcomes, and was externally validated. Mapping these bulk gene signatures onto scRNA-seq data uncovered their underlying cellular diversity, with prominent expression of the protumorigenic inflammation signature by myeloid phagocytic cells. However, heterogeneity in expression of adaptive immune and protumorigenic inflammation genes was observed among single myeloid phagocytic cells, quantified as the myeloid single cell immune:protumorigenic inflammation ratio (Msc2IR) score. Single myeloid phagocytic cells with low Msc2IR scores demonstrated upregulation of proinflammatory cytokines/chemokines and downregulation of antigen presentation genes, were unrelated to M1 versus M2 polarization, and were enriched in pretreatment blood samples from patients with PD-L1 blockade-resistant metastatic urothelial cancer.The balance of adaptive immunity and protumorigenic inflammation in individual tumor microenvironments is associated with PD-1/PD-L1 resistance in urothelial cancer with the latter linked to a proinflammatory cellular state of myeloid phagocytic cells detectable in tumor and blood.See related commentary by Drake, p. 4139.©2021 American Association for Cancer Research.",exclude,include,,include,Multi-gene 2IR immune signature
33985530,Metabolic classification of bladder cancer based on multi-omics integrated analysis to predict patient prognosis and treatment response.,"Currently, no molecular classification is established for bladder cancer based on metabolic characteristics. Therefore, we conducted a comprehensive analysis of bladder cancer metabolism-related genes using multiple publicly available datasets and aimed to identify subtypes according to distinctive metabolic characteristics.RNA-sequencing data of The Cancer Genome Atlas were subjected to non-negative matrix fractionation to classify bladder cancer according to metabolism-related gene expression; Gene Expression Omnibus and ArrayExpress datasets were used as validation cohorts. The sensitivity of metabolic types to predicted immunotherapy and chemotherapy was assessed. Kaplan-Meier curves were plotted to assess patient survival. Differentially expressed genes between subtypes were identified using edgeR. The differences among identified subtypes were compared using the Kruskal-Wallis non-parametric test. To better clarify the subtypes of bladder cancer, their relationship with clinical characteristics was examined using the Fisher's test. We also constructed a risk prediction model using the random survival forest method to analyze right-censored survival data based on key metabolic genes. To identify genes of prognostic significance, univariate Cox regression, lasso analysis, and multivariate regression were performed sequentially.Three bladder cancer subtypes were identified according to the expression of metabolism-related genes. The M1 subtype was characterized by high metabolic activity, low immunogenicity, and better prognosis. M2 exhibited moderate metabolic activity, high immunogenicity, and the worst prognosis. M3 was associated with low metabolic activity, low immunogenicity, and poor prognosis. M1 showed the best predicted response to immunotherapy, whereas patients with M1 were predicted to be the least sensitive to cisplatin. By contrast, M2 showed the worst predicted response to immunotherapy but was predicted to be more sensitive to cisplatin, doxorubicin, and other first-line anticancer drugs. M3 was the most sensitive to gemcitabine. The risk model based on metabolic genes effectively predicted the prognosis of bladder cancer patients.Metabolic classification of bladder cancer has potential clinical value and therapeutic feasibility by inhibiting the associated pathways. This classification can provide valuable insights for developing precise bladder cancer treatment.",exclude,include,,include,Metabolic subtypes and multi-gene risk model
34329197,Identification of immune-related genes that predict prognosis and risk of bladder cancer: bioinformatics analysis of TCGA database.,"Bladder cancer (BLCA) is the major tumor of the urinary system, and immune-related genes (IRGs) contribute significantly to its initiation and prognosis.A total of 51 prognostic IRGs significantly associated with overall survival were identified. Functional enrichment analysis revealed that these genes were actively involved in tumor-related functions and pathways. Using multivariate Cox regression analysis, we detected 11 optimal IRGs (ADIPOQ, PPY, NAMPT, TAP1, AHNAK, OLR1, PDGFRA, IL34, MMP9, RAC3, and SH3BP2). We validated the prognostic value of this signature in two validation cohorts: GSE13507 (n = 165) and GSE32894 (n = 224). Furthermore, we performed a western blot and found that the expression of these IRGs matched their mRNA expression in TCGA. Moreover, correlations between risk score and immune-cell infiltration indicated that the prognostic signature reflected infiltration by several types of immune cells.We identified and validated an 11-IRG-based risk signature that may be a reliable tool to evaluate the prognosis of BLCA patients and help to devise individualized immunotherapies.Bioinformatics analysis was performed using TCGA and ImmPort databases. Cox regression was used to identify prognostic signatures. Two external GEO cohorts and western blotting of samples were performed to validate the IRG signature.",exclude,include,,include,Multi-gene immune prognostic model
34521394,Cross-talk and clinical value of m[superscript 6]A regulatory gene in bladder cancer.,"RNA modification is a regulation at the post-transcriptional level. RNA methylation modification accounts for more than 60% of all RNA modifications, and m[superscript 6]A(6-methyladenine) is the most common type of RNA methylation modification on mRNA of higher organisms. The modification level of transcription m[superscript 6]A is dynamically regulated by methyltransferase (reader), binding protein (writer) and demethylase (eraser). Furthermore, m[superscript 6]A methylation has been found to have an impact on tumor initiation and progression through various mechanisms.13 genes related m[superscript 6]A from all the gene expressions in The Cancer Genome Atlas (TCGA) were screened. Gene Ontology (GO) and KEGG analysis were applied to explore the functions of genes identified in study. We clustered the related regulators of m[superscript 6]A into three subgroups with ""ConsensusClusterPlus"". 13 genes were used for univariate Cox analysis to find genes associated with prognosis, and the risk model was constructed based on lasso regression. According to the median risk score of each patient, the patients were divided into high and low risk groups for survival analysis. The ROC curve evaluates the model. Then the risk group and clinical characteristics were analyzed.The three subgroups had different clinical characteristics. Our tumor clusters were related to grade, survival status. Moreover, we observed a significantly longer overall survival (OS) in the cluster 1 than the cluster 2 and cluster 3. Three m[superscript 6]A-related genes related to prognosis were used to construct a prognostic risk model. We found age are independent prognostic marker. What's more, risk score can also be an independent prognostic factor.Revealing the regulation and functional mechanism of cross-talk among m[superscript 6]A writers, erasers, and readers, and determine its role in bladder cancer may help in developing novel and efficient strategies for the diagnosis, prognosis and treatment of bladder cancer.© 2021. The Author(s).",exclude,include,,include,3-gene m6A prognostic model
34901008,Hypoxic Characteristic Genes Predict Response to Immunotherapy for Urothelial Carcinoma.,"Objective: Resistance to immune checkpoint inhibitors (ICIs) has been a massive obstacle to ICI treatment in metastatic urothelial carcinoma (MUC). Recently, increasing evidence indicates the clinical importance of the association between hypoxia and immune status in tumor patients. Therefore, it is necessary to investigate the relationship between hypoxia and prognosis in metastatic urothelial carcinoma. Methods: Transcriptomic and clinical data from 348 MUC patients who underwent ICI treatment from a large phase 2 trial (IMvigor210) were investigated in this study. The cohort was randomly divided into two datasets, a training set (n = 213) and a testing set (n = 135). Data of hypoxia-related genes were downloaded from the molecular signatures database (MSigDB), and screened by univariate and multivariate Cox regression analysis to construct a prognosis-predictive model. The robustness of the model was evaluated in two melanoma cohorts. Furthermore, an external validation cohort, the bladder cancer cohort, from the Cancer Genome Atlas (TCGA) database, was t used to explore the mechanism of gene mutation, immune cell infiltration, signaling pathway enrichment, and drug sensitivity. Results: We categorized patients as the high- or low- risk group using a four-gene hypoxia risk model which we constructed. It was found that patients with high-risk scores had significantly worse overall survival (OS) compared with those with low-risk scores. The prognostic model covers 0.71 of the area under the ROC curve in the training set and 0.59 in the testing set, which is better than the survival prediction of MUC patients using the clinical characteristics. Mutation analysis results showed that deletion mutations in RB1, TP53, TSC1 and KDM6A were correlated with hypoxic status. Immune cell infiltration analysis illustrated that the infiltration T cells, B cells, Treg cells, and macrophages was correlated with hypoxia. Functional enrichment analysis revealed that a hypoxic microenvironment activated inflammatory pathways, glucose metabolism pathways, and immune-related pathways. Conclusion: In this investigation, a four-gene hypoxia risk model was developed to evaluate the degree of hypoxia and prognosis of ICI treatment, which showed a promising clinical prediction value in MUC. Furthermore, the hypoxia risk model revealed a close relationship between hypoxia and the tumor immune microenvironment.Copyright © 2021 Hong, Zhang, Cao, Lin, Yang, Zhang, Luo and Guo.",exclude,include,,include,4-gene hypoxia risk model
35092511,A 12-chemokine gene signature is associated with the enhanced immunogram scores and is relevant for precision immunotherapy.,"Advances in the understanding of checkpoint blockade immunotherapy have suggested that boosting the cancer-immunity cycle (CIC) can help induce regression of tumors. However, good efficacy only occurs in a subset of patients. Predictive biomarkers that can reflect the tumor microenvironment (TME) and CIC may have great potential. More recently, the presence of intratumoral tertiary lymphoid structures (TLSs) has also been correlated with clinical benefit in patients. In this study, we comprehensively measured the immunogram scores (IGSs) for the CIC and explored the associations between immunological and mutational features and a 12-chemokine metagene TLS signature in data from The Cancer Genome Atlas (TCGA). Three immunotherapy datasets were further applied for validation. In the TCGA dataset, we observed that the 12-chemokine TLS signature score was positively associated with the enhanced IGSs as represented by increased tumor mutational burden (TMB) and neoantigen burden (TNB), enriched immune cell (IC) infiltration, and elevated cytolytic activity and checkpoint expression. Specifically, in bladder cancer and melanoma, the high 12-chemokine TLS signature score was found to potentially reflect an expanded cancer-immunity status characterized by high TNB and an immune-inflamed feature. The predictive and prognostic value of the 12-chemokine TLS signature was further validated in several immunotherapy datasets. The score of the 12-chemokine TLS signature may serve as a pancancer marker of the immune-active phenotype. The 12-chemokine TLS signature showed promise as a predictive and prognostic biomarker for ICB efficacy, especially in melanoma and bladder cancer.© 2022. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",include,exclude,泛癌研究，研究对象不限于膀胱癌或尿路上皮癌,exclude,Pan-cancer 12-chemokine signature
35265613,Identification and Quantification of Iron Metabolism Landscape on Therapy and Prognosis in Bladder Cancer.,"The morbidity of bladder cancer (BLCA) is high and has gradually elevated in recent years. BLCA is also characterized by high recurrence and high invasiveness. Due to the drug resistance and lack of effective prognostic indicators, the prognosis of patients with BLCA is greatly affected. Iron metabolism is considered to be a pivot of tumor occurrence, progression, and tumor microenvironment (TME) in tumors, but there is little research in BLCA. Herein, we used univariate COX regression analysis to screen 95 prognosis-related iron metabolism-related genes (IMRGs) according to transcription RNA sequencing and prognosis information of the Cancer Genome Atlas (TCGA) database. TCGA-BLCA cohort was clustered into four distinct iron metabolism patterns (C1, C2, C3, and C4) by the non-negative matrix factorization (NMF) algorithm. Survival analysis showed that C1 and C3 patterns had a better prognosis. Gene set variant analysis (GSVA) revealed that C2 and C4 patterns were mostly enriched in carcinogenic and immune activation pathways. ESTIMATE and single sample gene set enrichment analysis (ssGSEA) also confirmed the level of immune cell infiltration in C2 and C4 patterns was significantly elevated. Moreover, the immune checkpoint genes in C2 and C4 patterns were observably overexpressed. Studies on somatic mutations showed that the tumor mutation burden (TMB) of C1 and C4 patterns was the lowest. Chemotherapy response assessment revealed that C2 pattern was the most sensitive to chemotherapy, while C3 pattern was the most insensitive. Then we established the IMRG prognosis signature (IMRGscore) by the least absolute shrinkage and selection operator (LASSO), including 13 IMRGs (TCIRG1, CTSE, ATP6V0A1, CYP2C8, RNF19A, CYP4Z1, YPEL5, PLOD1, BMP6, CAST, SCD, IFNG, and ASIC3). We confirmed IMRGscore could be utilized as an independent prognostic indicator. Therefore, validation and quantification of iron metabolism landscapes will help us comprehend the formation of the BLCA immunosuppressive microenvironment, guide the selection of chemotherapeutic drugs and immunotherapy, and predict the prognosis of patients.Copyright © 2022 Song, Xin, Zhang, Mao, Duan, Cui, Chen, Li, Liu, Wang, Liu, Liu and Song.",exclude,include,,include,13-gene iron-metabolism risk model
35593896,Epithelial-to-mesenchymal transition based diagnostic and prognostic signature markers in non-muscle invasive and muscle invasive bladder cancer patients.,"Diagnostic and prognostic significance of epithelial-to-mesenchymal transition (EMT) associated biomarkers are evaluated in a cohort of NMIBC (non-muscle invasive bladder cancer) and MIBC (muscle invasive bladder cancer) patients.Real-time quantitative polymerase chain reaction (RT-qPCR) and immunohistochemical (IHC) staining were carried out in 100 tumor specimens (59 NMIBC and 41 MIBC). The expressions of the epithelial marker, mesenchymal markers and EMT-activating transcription factors (EMT-ATFs) were determined at transcriptome and protein level followed by their statistical associations with clinicohistopathological variables of the patients. Transcriptomic expression analysis showed statistical relevance of tumor stage with increased Twist and Zeb-1; tumor type with reduced E-cadherin and increased Snail; and smoking/tobacco chewing status (S/TC) of patients with increased N-cadherin and Snail in NMIBC patients. Tumor grade with reduced message E-cadherin, gain of N-cadherin, Snail, Twist and Zeb-1; patients' age with reduced E-cadherin and Twist gain; and tumor type with increased message N-cadherin exhibited associations in MIBC patients. Protein expression analysis identified statistical relevance of tumor grade with nuclear gain of Snail and Twist; and nuclear gain of Slug with S/TC status of NMIBC patients. Novel gain of membranous Vimentin deduced association with patients' age in MIBC patients. Survival analysis identified novel Vimentin as the positive predictor of short progression free survival (PFS) and short overall survival (OS) in MIBC patients. Study established altered EMT profile as the independent negative predictor of short recurrence free survival (RFS) in NMIBC patients and positive predictor of short PFS and OS in MIBC patients.EMT associated biomarkers could provide diagnostic and prognostic risk stratification and hence could be of importance in the clinical management of bladder cancer patients.© 2022. The Author(s), under exclusive licence to Springer Nature B.V.",exclude,include,,include,Multi-gene EMT prognostic markers
35784457,Characterization of Ligand-Receptor Pair in Bladder Cancer Develops a Validated Scoring Model for Prognosis and Treatment Response.,"The role of ligand-receptor (LR) pairs in disease progression has been explored in bladder cancer. However, the relationship of LR pairs with cancer prognosis and treatment response remains poorly understood. We characterized the LR pair network and identified three distinct molecular subtypes with distinct biologic features based on the TCGA database (n = 406) and validated in GSE13507 (n = 165) and GSE32894 (n = 224). Three subtypes were compared for differences in patient clinical characteristics, genomic, and transcriptomic features. A multivariate Lasso Cox regression model was applied to construct an LR pairs-based scoring model to stratify the prognostic risk of patients. We demonstrated the high LR. score patients had better responses in chemotherapy, while low LR. score patients may benefit from immune checkpoint blockade (ICB). Collectively, we identified three LR pair-related subtypes associated with prognosis. We constructed and validated a LR pairs-based gene signature, which helps to predict prognosis and differentiate the susceptible population to chemotherapy and immunotherapy in patients with bladder cancer. Among the LR pairs significantly related to prognosis, ANAX1-EGFR axis was found to be potential therapeutic target for treatment of bladder cancer.Copyright © 2022 Wang, Wan, Zhang, Yang, Huang and Sun.",exclude,include,,include,Ligand-receptor scoring model
35804889,The Prognostic Value of the Circulating Tumor Cell-Based Four mRNA Scoring System: A New Non-Invasive Setting for the Management of Bladder Cancer.,"Bladder cancer (BC) is one of the most expensive lifetime cancers to treat because of the high recurrence rate, repeated surgeries, and long-term cystoscopy monitoring and treatment. The lack of an accurate classification system predicting the risk of recurrence or progression leads to the search for new biomarkers and strategies. Our pilot study aimed to identify a prognostic gene signature in circulating tumor cells (CTCs) isolated by ScreenCell devices from muscle invasive and non-muscle invasive BC patients. Through the PubMed database and Cancer Genome Atlas dataset, a panel of 15 genes modulated in BC with respect to normal tissues was selected. Their expression was evaluated in CTCs and thanks to the univariate and multivariate Cox regression analysis, EGFR, TRPM4, TWIST1, and ZEB1 were recognized as prognostic biomarkers. Thereafter, by using the risk score model, we demonstrated that this 4-gene signature significantly grouped patients into high- and low-risk in terms of recurrence free survival (HR = 2.704, 95% CI = 1.010−7.313, Log-rank p < 0.050). Overall, we identified a new prognostic signature that directly impacted the prediction of recurrence, improving the choice of the best treatment for BC patients.",exclude,include,,include,4-mRNA CTC scoring model
35846128,Discovery of Notch Pathway-Related Genes for Predicting Prognosis and Tumor Microenvironment Status in Bladder Cancer.,"Background: Notch signaling is a key regulator of immune cell differentiation and linked to autoimmune diseases, tumorigenesis and tumor-induced immunomodulation. An abnormally activated Notch signaling pathway contributes to almost all of the key features of cancer, including tumor angiogenesis, stemness, and epithelial-mesenchymal transition. Consequently, we investigated Notch pathway-related genes for developing prognostic marker and assessing immune status in bladder cancer. Methods: The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) databases were utilized to analyze RNA-seq data for bladder cancer. Cluster subtypes were identified using the NMF algorithm. In order to establish a prognostic risk signature, the least absolute shrinkage and selection operator (Lasso) and Cox regression analysis was utilized. GSEA was carried out to investigate the molecular mechanisms. Immune cell infiltration levels in bladder cancer were calculated using the CIBERSORT algorithm. External clinical tissue samples were used to validate the expression levels of signature genes. Results: Based on the NMF algorithm, bladder cancer samples were divided into two cluster subtypes and displayed different survival outcome and immune microenvironment. A six-gene risk signature (DTX3L, CNTN1, ENO1, GATA3, MAGEA1, and SORBS2) was independent for prognosis and showed good stability. The infiltration of immune cells and clinical variables were significantly different among the risk groups of patients. Response to immunotherapy also differed between different risk groups. Furthermore, the mRNA expression levels of the signature genes were verified in tissue samples by qRT-PCR. Conclusion: We established a 6-gene signature associated with Notch pathway in bladder cancer to effectively predict prognosis and reflect immune microenvironment status.Copyright © 2022 Sun, Xin, Li, Zhang and Ye.",exclude,include,,include,6-gene Notch risk model
35958598,Comprehensive FGFR3 alteration-related transcriptomic characterization is involved in immune infiltration and correlated with prognosis and immunotherapy response of bladder cancer.,"Bladder cancer (BC) threatens the health of human beings worldwide because of its high recurrence rate and mortality. As an actionable biomarker, fibroblast growth factor receptor 3 (FGFR3) alterations have been revealed as a vital biomarker and associated with favorable outcomes in BC. However, the comprehensive relationship between the FGFR3 alteration associated gene expression profile and the prognosis of BC remains ambiguous.Genomic alteration profile, gene expression data, and related clinical information of BC patients were downloaded from The Cancer Genomics database (TCGA), as a training cohort. Subsequently, the Weighted Gene Co-expression Network Analysis (WGCNA) was conducted to identify the hub modules correlated with FGFR3 alteration. The univariate, multivariate, and least absolute shrinkage and selection operator (LASSO) Cox regression analyses were used to obtain an FGFR3 alteration-related gene (FARG) prognostic signature and FARG-based nomogram. The receiver operating characteristic (ROC) curve analysis was used for evaluation of the ability of prognosis prediction. The FARG signature was validated in four independent datasets, namely, GSE13507, GSE31684, GSE32548, and GSE48075, from Gene Expression Omnibus (GEO). Then, clinical feature association analysis, functional enrichment, genomic alteration enrichment, and tumor environment analysis were conducted to reveal differential clinical and molecular characterizations in different risk groups. Lastly, the treatment response was evaluated in the immunotherapy-related dataset of the IMvigor210 cohort and the frontline chemotherapy dataset of GSE48276, and the chemo-drug sensitivity was estimated via Genomics of Drug Sensitivity in Cancer (GDSC).There were a total of eleven genes (CERCAM, TPST1, OSBPL10, EMP1, CYTH3, NCRNA00201, PCDH10, GAP43, COLQ, DGKB, and SETBP1) identified in the FARG signature, which divided BC patients from the TCGA cohort into high- and low-risk groups. The Kaplan-Meier curve analysis demonstrated that BC patients in the low-risk group have superior overall survival (OS) than those in the high-risk group (median OS: 27.06 months vs. 104.65 months, p < 0.0001). Moreover, the FARG signature not only showed a good performance in prognosis prediction, but also could distinguish patients with different neoplasm disease stages, notably whether patients presented with muscle invasive phenotype. Compared to clinicopathological features, the FARG signature was found to be the only independent prognostic factor, and subsequently, a FARG-based prognostic nomogram was constructed with better ability of prognosis prediction, indicated by area under ROC curve (AUC) values for 1-, 3-, and 5-year OS of 0.69, 0.71, and 0.79, respectively. Underlying the FARG signature, multiple kinds of metabolism- and immune-related signaling pathways were enriched. Genomic alteration enrichment further identified that FGFR3 alterations, especially c.746C>G (p.Ser249Cys), were more prevalent in the low-risk group. Additionally, FARG score was positively correlated with ESTIMATE and TIDE scores, and the low-risk group had abundant enrichment of plasma B cells, CD8+ T cells, CD4+ naive T cells, and helper follicular T cells, implying that patients in the low-risk group were likely to make significant responses to immunotherapy, which was further supported by the analysis in the IMvigor210 cohort as there was a significantly higher response rate among patients with lower FARG scores. The analysis of the GDSC database finally demonstrated that low-risk samples were more sensitive to methotrexate and tipifarnib, whereas those in the high-risk group had higher sensitivities in cisplatin, docetaxel, and paclitaxel, instead.The novel established FARG signature based on a comprehensive FGFR3 alteration-related transcriptomic profile performed well in prognosis prediction and was also correlated with immunotherapy and chemotherapy treatment responses, which had great potential in future clinical applications.Copyright © 2022 Xu, Xu, Zheng, Li, Cai, Xu, Zou and Yu.",exclude,include,,include,11-gene FARG signature
36186809,An enhancer RNA-based risk model for prediction of bladder cancer prognosis.,"Bladder cancer patients have a high recurrence and poor survival rates worldwide. Early diagnosis and intervention are the cornerstones for favorable prognosis. However, commonly used predictive tools cannot meet clinical needs because of their insufficient accuracy.We have developed an enhancer RNA (eRNA)-based signature to improve the prediction for bladder cancer prognosis. First, we analyzed differentially expressed eRNAs in gene expression profiles and clinical data for bladder cancer from The Cancer Genome Atlas database. Then, we constructed a risk model for prognosis of bladder cancer patients, and analyzed the correlation between this model and tumor microenvironment (TME). Finally, regulatory network of downstream genes of eRNA in the model was constructed by WGCNA and enrichment analysis, then Real-time quantitative PCR verified the differentiation of related genes between tumor and adjacent tissue.We first constructed a risk model composed of eight eRNAs, and found the risk model could be an independent risk factor to predict the prognosis of bladder cancer. Then, the log-rank test and time-dependent ROC curve analysis shown the model has a favorable ability to predict prognosis. The eight risk eRNAs may participate in disease progression by regulating cell adhesion and invasion, and up-regulating immune checkpoints to suppress the immunity in TME. mRNA level change in related genes further validated regulatory roles of eRNAs in bladder cancer. In summary, we constructed an eRNA-based risk model and confirmed that the model could predict the prognosis of bladder cancer patients.Copyright © 2022 Xu, Xu, Wang, Ma, Li, Liu, Peng, Tan, Zhao, Han, Zhang and Yang.",include,exclude,基于增强子RNA风险模型，不属于mRNA/基因表达模型,exclude,Enhancer RNA model
36300085,"Identification of a dysregulated CircRNA-associated gene signature for predicting prognosis, immune landscape, and drug candidates in bladder cancer.","Increasing evidences have demonstrated that circular RNA (circRNAs) plays a an essential regulatory role in initiation, progression and immunotherapy resistance of various cancers. However, circRNAs have rarely been studied in bladder cancer (BCa). The purpose of this research is to explore new circRNAs and their potential mechanisms in BCa. A novel ceRNA-regulated network, including 87 differentially expressed circRNAs (DE-circRNAs), 126 DE-miRNAs, and 217 DE-mRNAs was constructed to better understanding the biological processes using Cytoscape 3.7.1 based on our previously high-throughput circRNA sequencing and five GEO datasets. Subsequently, five randomly selected circRNAs (upregulated circ_0001681; downregulated circ_0000643, circ_0001798, circ_0006117 and circ_0067900) in 20 pairs of BCa and paracancerous tissues were confirmed using qRT-PCR. Functional analysis results determined that 772 GO functions and 32 KEGG pathways were enriched in the ceRNA network. Ten genes (PFKFB4, EDNRA, GSN, GAS1, PAPPA, DTL, TGFBI, PRSS8, RGS1 and TCF4) were selected for signature construction among the ceRNA network. The Human Protein Atlas (HPA) expression of these genes were consistent with the above sequencing data. Notably, the model was validated in multiple external datasets (GSE13507, GSE31684, GSE48075, IMvigor210 and GSE32894). The immune-infiltration was evaluated by 7 published algorithms (i.e., TIMER, CIBERSORT, CIBERSORT-ABS, QUANTISEQ, MCPCOUNTER, XCELL and EPIC). Next, Correlations between riskscore or risk groups and clinicopathological data, overall survival, recognized immunoregulatory cells or common chemotherapeutic agents of BCa patients were performed using wilcox rank test, chi-square test, cox regression and spearman's correlation analysis; and, these results are significant. According to R package ""GSVA"" and ""clusterProfiler"", the most significantly enriched HALLMARK and KEGG pathway was separately the 'Epithelial Mesenchymal Transition' and 'Ecm Receptor Interaction' in the high- vs. low-risk group. Additionally, the functional experiments in vitro also revealed that the overexpression of has_circ_0067900 significantly impaired the proliferation, migration, and invasion capacities of BCa cells. Collectively, the results of the current study provide a novel landscape of circRNA-associated ceRNA-regulated network in BCa. The ceRNA-associated gene model which was constructed presented a high predictive performance for the prognosis, immunotherapeutic responsiveness, and chemotherapeutic sensitivity of BCa. And, has_circ_0067900 was originally proposed as tumor suppressor for patients with BCa.Copyright © 2022 Shen, Li, Zhang, Zhang, Wu, Da, Yang, Wang, Zhang, Qie, Zhao, Lin, Huang, Zhou and Hu.",exclude,include,,include,10-mRNA signature from circRNA network
36358715,The Urothelial Transcriptomic Response to Interferon Gamma: Implications for Bladder Cancer Prognosis and Immunotherapy.,"Interferon gamma (IFNγ) is central to the inflammatory immune response, such as that entrained by BCG immunotherapy for bladder cancer. However, immune-mediated tumour cell killing is subject to modulation by immunoinhibitory ""checkpoint"" receptors such as PD-L1. We investigated the effects of IFNγ on barrier-forming in vitro-differentiated normal human urothelium using mRNA-sequencing, and showed canonical upregulation of MHC class I/II and de novo expression of the T cell tropic CXCL9-11 chemokines. Normal urothelium constitutively expressed immunoinhibitory B7 family member VSIR (VISTA), while CD274 (PD-L1) expression was induced/upregulated by IFNγ. We generated a urothelial IFNγ response gene signature. When applied to the unsupervised clustering of non-muscle-invasive bladder cancers, the IFNγ-signature predicted longer recurrence-free survival. In muscle-invasive cancers, the IFNγ-signature split the basal/squamous consensus subtype, with significantly worse overall survival when weak or absent. This study offers novel insights into strategies to enhance immunotherapy via the IFNγ and VISTA/PD-L1 nexus.",exclude,include,,include,IFN-gamma gene signature with survival endpoint
