"pmid","reviewer1_decision","reviewer2_decision","reviewer2_reason"
33937319,"include","include",NA
33962639,"include","include",NA
33985530,"exclude","include",NA
34095228,"include","include",NA
34112144,"include","include",NA
34266411,"include","include",NA
34329197,"exclude","include",NA
34339395,"include","include",NA
34368227,"include","include",NA
34404901,"include","include",NA
34418989,"include","include",NA
34422642,"include","include",NA
34426176,"include","include",NA
34490263,"include","include",NA
34512654,"include","include",NA
34512722,"include","include",NA
34521394,"exclude","include",NA
34530089,"include","include",NA
34644219,"include","include",NA
34663340,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
34706720,"include","include",NA
34738881,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
34802433,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
34803395,"include","include",NA
34816620,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
34849009,"include","include",NA
34901008,"exclude","include",NA
35023971,"include","include",NA
35027921,"include","include",NA
35092511,"include","exclude","泛癌研究，研究对象不限于膀胱癌或尿路上皮癌"
35125116,"include","include",NA
35127296,"include","include",NA
35141159,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
35154513,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
35169299,"include","include",NA
35205125,"include","include",NA
35217715,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
35243106,"exclude","exclude","基于可变剪接事件签名，不符合纳入标准"
35265613,"exclude","include",NA
35281080,"include","include",NA
35299749,"include","include",NA
35300137,"include","include",NA
35309900,"include","include",NA
35371346,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
35440045,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
35480865,"include","include",NA
35593896,"exclude","include",NA
35600386,"exclude","exclude","勘误/更正，非原始研究"
35626146,"include","include",NA
35646934,"include","include",NA
35669725,"include","include",NA
35730624,"include","include",NA
35731212,"exclude","exclude","单基因机制研究，未构建多基因风险模型"
35769470,"exclude","exclude","基于可变剪接事件签名，不符合纳入标准"
35784457,"exclude","include",NA
35804889,"exclude","include",NA
35814472,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
35846128,"exclude","include",NA
35860239,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
35918812,"include","include",NA
35949618,"include","include",NA
35958598,"exclude","include",NA
35964079,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36061188,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36118856,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36158580,"include","include",NA
36186475,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36186809,"include","exclude","基于增强子RNA风险模型，不属于mRNA/基因表达模型"
36206128,"exclude","exclude","单基因机制研究，未构建多基因风险模型"
36211359,"include","include",NA
36211821,"include","include",NA
36237132,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36268283,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36300085,"exclude","include",NA
36309694,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36358715,"exclude","include",NA
36425941,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36428492,"exclude","include",NA
36451815,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36454396,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36455365,"include","include",NA
36468020,"exclude","include",NA
36505302,"exclude","include",NA
36505486,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36527532,"include","include",NA
36568387,"include","include",NA
36579659,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36595859,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36620542,"include","include",NA
36685947,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
36777726,"include","exclude","基于lncRNA签名，不符合纳入标准"
36973645,"include","include",NA
36978709,"exclude","exclude","同时构建MRI影像组学模型，不符合纳入标准"
37064115,"include","exclude","基于lncRNA签名，不符合纳入标准"
37072750,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
37138324,"include","include",NA
37152941,"include","include",NA
37244876,"include","include",NA
37269345,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
37271571,"exclude","exclude","研究对象为Kidney Renal Clear Cell Carcinoma，非膀胱癌或尿路上皮癌"
37283097,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
37301098,"include","include",NA
37379131,"include","include",NA
37393523,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
37423913,"include","include",NA
37455996,"exclude","include",NA
37505479,"exclude","exclude","以黑色素瘤为临床验证对象，膀胱癌部分未报告规定终点"
37578544,"include","include",NA
37588995,"include","include",NA
37594617,"include","include",NA
37625558,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
37632832,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
37701108,"exclude","include",NA
37740761,"exclude","include",NA
37745978,"include","include",NA
37747262,"include","include",NA
37780567,"include","include",NA
37802365,"exclude","include",NA
37807731,"include","include",NA
37845668,"include","include",NA
37849225,"include","include",NA
37869074,"exclude","include",NA
37876438,"include","include",NA
37919060,"include","include",NA
37965307,"include","include",NA
37968767,"include","include",NA
38017469,"exclude","include",NA
38049825,"include","include",NA
38071230,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
38073378,"include","include",NA
38094043,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
38172584,"exclude","include",NA
38183115,"exclude","include",NA
38217031,"exclude","include",NA
38268861,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
38273010,"include","include",NA
38282152,"exclude","include",NA
38305808,"include","include",NA
38306023,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
38332160,"include","include",NA
38333832,"exclude","include",NA
38355560,"exclude","exclude","单基因机制研究，未构建多基因风险模型"
38356551,"exclude","include",NA
38387404,"exclude","include",NA
38439961,"include","exclude","仅鉴定CIS相关46基因表达签名，未报告规定临床终点"
38493947,"exclude","include",NA
38507521,"include","include",NA
38570787,"include","include",NA
38579085,"exclude","exclude","单基因机制研究，仅构建ALYREF单基因预后指标"
38639590,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
38701267,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
38714517,"include","include",NA
38715622,"exclude","exclude","基于影像组学或病理图像模型，不符合纳入标准"
38735911,"include","include",NA
38907134,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
38968515,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
39033098,"include","include",NA
39033778,"include","include",NA
39115575,"include","include",NA
39160525,"include","include",NA
39269596,"exclude","include",NA
39343809,"include","include",NA
39368544,"exclude","include",NA
39380003,"exclude","include",NA
39392600,"include","include",NA
39432593,"include","include",NA
39503984,"include","include",NA
39507864,"include","include",NA
39525026,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
39550498,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
39603145,"exclude","include",NA
39613992,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
39624133,"exclude","exclude","基于miRNA签名，不符合纳入标准"
39682743,"exclude","exclude","泛癌研究，膀胱癌部分未构建规定临床终点的多基因模型"
39687628,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
39690336,"exclude","exclude","研究对象为Gastric Cancer，非膀胱癌或尿路上皮癌"
39695796,"exclude","include",NA
39708127,"include","include",NA
39739621,"include","include",NA
39749345,"include","include",NA
39759522,"exclude","exclude","基于蛋白质组签名，不符合纳入标准"
39769061,"exclude","include",NA
39816221,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
39867879,"include","include",NA
39991573,"include","include",NA
40018511,"exclude","include",NA
40097551,"exclude","include",NA
40319103,"include","include",NA
40330458,"include","include",NA
40348840,"include","include",NA
40376515,"include","include",NA
40402393,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
40405063,"exclude","include",NA
40427675,"include","include",NA
40438104,"include","include",NA
40442298,"include","include",NA
40500142,"include","include",NA
40511303,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
40520868,"include","include",NA
40574864,"exclude","exclude","泛癌研究，研究对象不限于膀胱癌或尿路上皮癌"
40589607,"exclude","include",NA
40626022,"include","include",NA
40631135,"exclude","include",NA
40703521,"exclude","include",NA
40735323,"include","include",NA
40779729,"include","include",NA
40816225,"exclude","exclude","研究对象为食管癌，非膀胱癌或尿路上皮癌"
40867253,"include","exclude","细胞系缺氧基因表达研究，未报告规定临床终点"
40916434,"exclude","include",NA
40918470,"include","include",NA
40973873,"exclude","exclude","单细胞机制研究，未构建mRNA多基因风险模型"
40994220,"exclude","include",NA
41137061,"exclude","include",NA
41144872,"exclude","include",NA
41153362,"include","include",NA
41168438,"exclude","exclude","基于影像组学或病理图像模型，不符合纳入标准"
41198839,"include","include",NA
41216727,"include","include",NA
41230137,"exclude","exclude","基于影像组学或病理图像模型，不符合纳入标准"
41230155,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
41252049,"include","include",NA
41337795,"include","include",NA
41357226,"include","include",NA
41388608,"include","include",NA
41505248,"include","include",NA
41507856,"exclude","include",NA
41533176,"include","include",NA
41582171,"exclude","include",NA
41584451,"include","include",NA
41656395,"exclude","include",NA
41668898,"exclude","include",NA
41685329,"exclude","include",NA
41689016,"exclude","include",NA
41715136,"exclude","include",NA
41727459,"exclude","include",NA
41794187,"exclude","include",NA
41809777,"include","exclude","基于lncRNA签名，不符合纳入标准"
41809788,"include","include",NA
41836241,"include","include",NA
41836296,"include","include",NA
41862905,"include","include",NA
41870815,"include","include",NA
41971137,"include","include",NA
41981124,"include","include",NA
41992284,"include","include",NA
42002631,"exclude","exclude","基于文献综述，非原始研究"
42030617,"include","include",NA
42052292,"include","include",NA
42059994,"include","include",NA
42079608,"exclude","exclude","基于lncRNA签名，不符合纳入标准"
42159275,"include","include",NA
42164400,"exclude","include",NA
42215586,"include","include",NA
42220482,"exclude","include",NA
42244509,"include","include",NA
42251607,"exclude","include",NA
42279297,"include","include",NA
42319469,"exclude","include",NA
42371282,"exclude","include",NA
42421957,"include","include",NA
42436233,"include","include",NA
42436798,"include","include",NA
42482080,"include","include",NA
42493447,"include","include",NA
42500328,"include","include",NA
42516298,"exclude","include",NA
42555166,"exclude","include",NA
42576531,"include","include",NA
