pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext
35784457,PMC9247554,Characterization of Ligand-Receptor Pair in Bladder Cancer Develops a Validated Scoring Model for Prognosis and Treatment Response.,2022,extracted,high,fulltext,3,ANXA1-|EGFR|CALR-,The risk score of each patient was generated for the risk model.LR.score = (β1xi1+ β2xi2+...+ βpxip) = 0.137∗ANXA1- > EGFR+0.212*CALR- > LRP1-0.358∗CCL14- > CCR5-0.118∗CHAD- > ITGA2-0.095∗DSPP- > ITGB6+0.071∗EFEMP1- > EGFR-0.253∗IFNE- > IFNAR2-0.367∗IL22- > IL22RA2+0.162∗PDGFD- > PDGFRB-0.115∗TNFSF13- > TNFRSF14.Drug Sensitivity AnalysisWe downloaded drug sensitivity data for approximately 1000 cancer cell lines from Genomics of Drug Sensitivity in Cancer (GDSC) (http://www.cancerrxgene.org).,Y
35804889,PMC9264990,The Prognostic Value of the Circulating Tumor Cell-Based Four mRNA Scoring System: A New Non-Invasive Setting for the Management of Bladder Cancer.,2022,extracted,high,abstract_window,4,EGFR|TRPM4|TWIST1|ZEB1," long-term cystoscopy monitoring and treatment. The lack of an accurate classification system predicting the risk of recurrence or progression leads to the search for new biomarkers and strategies. Our pilot study aimed to identify a prognostic gene signature in circulating tumor cells (CTCs) isolated by ScreenCell devices from muscle invasive and non-muscle invasive BC patients. Through the PubMed database and Cancer Genome Atlas dataset, a panel of 15 genes modulated in BC with respect to norm",Y
35846128,PMC9279929,Discovery of Notch Pathway-Related Genes for Predicting Prognosis and Tumor Microenvironment Status in Bladder Cancer.,2022,extracted,high,fulltext_window,5,DTX3L|CNTN1|GATA3|MAGEA1|SORBS2,entified 11 genes associated with significant prognostic differences (Supplementary Table S5). The hub genes were further selected using Lasso regression and multivariate Cox analyses in order to narrow the gene range and construct a highly accurate prognostic model (Supplementary Figure S2). Six target genes were determined by combining the analysis. The 6-gene signature formula was as follows: Risk score = expression level of DTX3L × (-0.490) + expression level of CNTN1 × (0.230) + expression ,Y
35958598,PMC9360490,Comprehensive FGFR3 alteration-related transcriptomic characterization is involved in immune infiltration and correlated with prognosis and immunotherapy response of bladder cancer.,2022,extracted,high,fulltext_window,11,CERCAM|TPST1|OSBPL10|EMP1|CYTH3|PCDH10|GAP43|COLQ|DGKB|SETBP1|FGFR3,"ly correlated with OS of BC patients. (D–H) No statistically significant difference in OS of BC patients between high and low expression of brown (D), red (E), turquoise (F), green (G), or gray (H) module.Establishment and validation of a novel FARG signatureThe association analysis between these identified 966 hub genes and OS of BC patients was then conducted by the univariate Cox regression analysis, finally identifying 62 OS-related hub genes ( Supplementary Table 2 , p < 0.01), which were f",Y
36300085,PMC9589509,"Identification of a dysregulated CircRNA-associated gene signature for predicting prognosis, immune landscape, and drug candidates in bladder cancer.",2022,extracted,high,abstract_window,10,PFKFB4|EDNRA|GSN|GAS1|PAPPA|DTL|TGFBI|PRSS8|RGS1|TCF4,"ssues were confirmed using qRT-PCR. Functional analysis results determined that 772 GO functions and 32 KEGG pathways were enriched in the ceRNA network. Ten genes (PFKFB4, EDNRA, GSN, GAS1, PAPPA, DTL, TGFBI, PRSS8, RGS1 and TCF4) were selected for signature construction among the ceRNA network. The Human Protein Atlas (HPA) expression of these genes were consistent with the above sequencing data. Notably, the model was validated in multiple external datasets (GSE13507, GSE31684, GSE48075, IMvi",Y
36358715,PMC9654607,The Urothelial Transcriptomic Response to Interferon Gamma: Implications for Bladder Cancer Prognosis and Immunotherapy.,2022,extracted,high,fulltext_window,9,IFNGR1|IFNGR2|CCL20|CXCL8|CXCL1|CXCL6|IL23A|IL1B|IL17C,"d MIBC tumours from the different cohorts were pooled to support Kaplan–Meier NMIBC Recurrence Free Survival (RFS) and MIBC Overall Survival (OS) analysis, respectively. Statistical significance of the difference between Kaplan–Meier curves for IFNγ-signature high and low groups was performed using Mantel-Cox and Gehan-Breslow-Wilcoxon tests, with hazard ratios calculated using both Mantel-Haenszel and log rank approaches. A Cox proportional hazards regression analysis was performed using the ps",Y
36428492,PMC9687567,Oncogenic Roles of Polycomb Repressive Complex 2 in Bladder Cancer and Upper Tract Urothelial Carcinoma.,2022,extracted,high,abstract_window,11,EZH2|EED|SUZ12|CDC26|MAPK1IP1L|SFR1|CDK5RAP2|ANXA5|STX11|PSMD5|FGFRL1,"ne set enrichment analysis of the transcriptome. We discovered that the epigenetic regulation of polycomb repressive complex 2 (PRC2) is responsible for the recurrence and progression of lower-track urinary cancers. Additionally, a PRC2-related gene signature model was discovered to be effective in classifying bladder cancer patients with distinct susceptibility of subsequent recurrence and progression (log-rank p < 0.001 and = 0.001, respectively). We continued to discover that the same model c",Y
36468020,PMC9709473,Clinical value of M1 macrophage-related genes identification in bladder urothelial carcinoma and in vitro validation.,2022,extracted,high,abstract_window,4,FBXO6|OAS1|TMEM229B|CTLA4,"es mRNA level. Results: 111 macrophage M1-related genes were identified using WGCNA. RS model containing three prognostically significant M1 macrophage-associated genes (FBXO6, OAS1, and TMEM229B) was formed by multiple Cox analysis, and a polygenic risk model and a comprehensive prognostic line plot was developed. The calibration curve clarified RS was a good predictor of prognosis. Patients in the LRG were more suitable for programmed cell death protein 1 (PD1) and cytotoxic T lymphocyte assoc",Y
36505302,PMC9730090,The predictive value of pyroptosis for the prognosis and immune escape of bladder cancer.,2022,extracted,high,fulltext_manual,8,KRT1|DSG3|PCOLCE2|ALDH1L2|CTSE|SULT1E1|GSDMB|BCL2L14,The eight genes in the LASSO risk model are listed in the published full text.,Y
37138324,PMC10155334,The potential crosstalk between tumor and plasma cells and its association with clinical outcome and immunotherapy response in bladder cancer.,2023,extracted,high,abstract_window,4,LAMB3|CD44|ANGPTL4|SDC1,"ogeneity of PCs and their potential crosstalk patterns with BC tumor cells.Crosstalk patterns between PCs and tumor cells were revealed by performing integrated bulk and single-cell RNA sequencing (RNA-seq) and spatial transcriptome data analysis. A risk model was constructed based on ligand/receptor to quantify crosstalk patterns by stepwise regression Cox analysis.Based on cell infiltration scores inferred from bulk RNA-seq data (n = 728), we found that high infiltration of PCs was associated ",Y
37455996,PMC10338970,Prediction of immune and targeted drug efficacy in pain-related risk subtypes for bladder cancer patients.,2023,extracted,high,fulltext_window,8,NES|TP53|TTN|KMT2D|MUC16|KDM6A|PIK3CA|RB1,"t. (A) Volcano plot of the hallmark gene enrichment analysis in TCGA cohort. The X-axis is normalized enrichment score (NES), and the Y-axis is the -log of the P-value for significance in the enrichment result. (B) Volcano plot of the ImmPort immune signature gene enrichment analysis in TCGA cohort. (C) GSEA results of the top eight enriched hallmarks. (D) GSEA results of the top eight enriched ImmPort immune signatures.Fig. 3Fig. 4GSVA analysis of 50 hallmarks with different risk subtypes.Heatm",Y
37701108,PMC10493797,Novel potential urinary biomarkers for effective diagnosis and prognostic evaluation of high-grade bladder cancer.,2023,extracted,high,abstract_window,4,DKC1|SNRPG|EFTUD2|EBNA1BP2,"e.A total of 560 differentially expressed genes (DEGs) were identified when comparing the urine sediment samples from HGBC patients with the benign ones. Using these urinary DEGs and the clinical information of HGBC patients, we developed an optimal risk model consisting of eight genes to predict the patient outcome. By integrating the node degree values in the PPI network with the expression changes in both urine and tissue samples, eighteen hub genes were selected out. Among them, DKC1 and SNR",Y
37740761,PMC11797741,Identifying possible hub genes and biological mechanisms shared between bladder cancer and inflammatory bowel disease using machine learning and integrated bioinformatics.,2023,extracted,high,abstract_window,3,AURKB|CDK1|CCNA2,"pression network analysis (WGCNA) on these DEGs to determine the vital modules and genes significantly related to BC. Protein-protein interaction (PPI) networks was used to identify hub genes. Further, the hub genes were used to develop a prognostic signature by Cox analysis. The validity of the ten hub DEGs was tested using three classification algorithms. Finally, we analyzed the microRNAs (miRNA)-mRNA, transcription factors (TFs)-mRNA regulatory network.Positive regulation of organelle fissio",Y
37780567,PMC10536175,Development and validation of prognostic index based on purine metabolism genes in patients with bladder cancer.,2023,extracted,high,fulltext,4,TP53|ELF3|KMT2C|SPTAN1,"By performing correlation analyses between the expression levels of DEGs in the prognostic model and SNPs, we identified four SNP-driven DEGs, namely TP53, ELF3, KMT2C, and SPTAN1 (Figure 3A).",Y
38017469,PMC10683108,Identifying prognostic characteristics of m6A-related glycolysis gene and predicting the immune infiltration landscape in bladder cancer.,2023,extracted,high,fulltext_window,3,APOE|METTL3|LATS1,XuSChenMGuoPDaiZclusterProfiler 4.0: A universal enrichment tool for interpreting omics dataInnovation (Camb).2021231001413455777810.1016/j.xinn.2021.100141PMC845466317.LinJZhaoAFuDEvaluating the tumor immune profile based on a three-gene prognostic risk model in HER2 positive breast cancerSci Rep2022121931110.1038/s41598-022-13499-135665772PMC916679818.ZhangXZhangXLiGHaoYLiuLZhangLA novel necroptosis-associated lncRNA signature can impact the immune status and predict the outcome of breast canc,Y
38172584,PMC10764961,Identification and validation of prognostic signature genes of bladder cancer by integrating methylation and transcriptomic analysis.,2024,extracted,high,fulltext_window,3,ARL4D|CDH3|NFE2,"s. P-value was calculated to define the significance on the analysis.Correlation analysis of the signature genes with interleukins and immune cell infiltrationTo further evaluate the impact of hub genes, a correlation study between the expression of signature genes and IL-6 and IL-20 was carried out. The analysis showed that all genes were significantly positively associated with IL-6 except ARL4D (P-value > 0.05) and CDH3 (P-value > 0.05) and also significantly positively correlated with IL-20 ",Y
38183115,PMC10768331,Transcriptomic insights into UTUC: role of inflammatory fibrosis and potential for personalized treatment.,2024,extracted,high,abstract_window,5,SDC1|LUM|VEGFA|WNT7B|TIMP3,"e personalized treatment strategies for UTUC.In our research, we utilized differential gene expression analysis, interaction networks, and Cox regression to explore the enhanced metastatic propensity of UTUC. We formulated and validated a prognostic risk model using diverse techniques, including cell co-culture, reverse transcription quantitative polymerase chain reaction (rt-qPCR), western blotting, and transwell experiments. Our methodological approach also involved survival analysis, risk mod",Y
38217031,PMC10785515,Deciphering the significance of anoikis in bladder cancer and systematic analysis of S100A7 as a potential therapeutic target.,2024,extracted,high,abstract,3,TPM1|RAC3|S100A7,"Finally, we verified the function of S100A7 in two BLCA cell lines.We developed a prognostic risk model based on three anoikis-related genes including TPM1, RAC3 and S100A7.",Y
38282152,,Unveiling Anoikis-related genes: A breakthrough in the prognosis of bladder cancer.,2024,extracted,high,abstract_window,3,HK2|HSP90B1|BAD,"ithelial cells, T cells and fibroblasts for copy number variation analysis, pseudotime analysis and transcription factor analysis based on R package. We integrated machine-learning algorithms to develop the artificial intelligence-derived prognostic signature (AIDPS).The performance of AIDPS with clinical indicators was stable and robust in predicting BLCA and showed better performance in every validation dataset compared to other models. Mendelian randomization analysis was conducted. Single nu",N
38333832,PMC10850424,The prognostic significance and clinical relevance of stem cell characteristic in bladder cancer.,2024,extracted,high,fulltext_window,4,CD44|ALDH1A1|SOX2|SOX4,"ors (ICIs) [3]. The 5-year recurrence free survival rates of patients with low-risk, intermediate-risk and high-risk NMIBC are 43 %, 33 % and 21 %, respectively, and most of high-risk NMIBC patients progress to MIBC with worse prognosis [3]. Thus, a prognostic model of BLCA for clinical management is needed.Cancer stem cells (CSCs) have been indicated playing a crucial role in chemotherapy resistance and tumor relapse [4]. CSCs are a sort of malignant tumor cells which can self-renew, differenti",Y
38356551,PMC10864973,Disulfidptosis characterizes the tumor microenvironment and predicts immunotherapy sensitivity and prognosis in bladder cancer.,2024,extracted,high,abstract,4,COL5A1|DIRAS3|NKG7|POLR3G,"A prognostic signature was created, consisting of COL5A1, DIRAS3, NKG7, and POLR3G and validated as having a robust predictive capability.",Y
38387404,PMC10897900,A hypoxia biomarker does not predict benefit from giving chemotherapy with radiotherapy in the BC2001 randomised controlled trial.,2024,extracted,high,fulltext_window,5,STAT1|SUMO1|PAK2|HDAC1|IRF1,"oxic (c) and hypoxic (d) tumours and OS of BC2001 patients with normoxic (e) and (f) hypoxic tumours stratified by treatment.Generation of biomarker data and centralised pathologyHypoxia scores (HS) were calculated as the median expression of the 24 signature genes.11 As this is an ad-hoc exploratory analysis, hypoxia scores were analysed as both a categorical (stratified by the cohort median as in previous publications) and a continuous variable. Transcriptomic data were also used to generate r",Y
38493947,,Single-cell and multi-omics analyses highlight cancer-associated fibroblasts-induced immune evasion and epithelial mesenchymal transition for smoking bladder cancer.,2024,excluded,missing,none,0,,33-gene list not provided in accessible abstract/full text,N
38570787,PMC10993528,Deciphering the prognostic features of bladder cancer through gemcitabine resistance and immune-related gene analysis and identifying potential small molecular drug PIK-75.,2024,extracted,high,fulltext_window,3,H2AZ1|NRF1|RAC3," levels of H2AZ1 and NRF1 were positively associated with RAC3 (H2AZ1, R = 0.33, p = 1.6e−1, Additional file 1: Fig. S6C; NRF1, R = 0.32, p = 9.5e−11, Additional file 1: Fig. S6C). These results indicated that RAC3 was the hub gene in our predictive signature, and its transcription was most likely regulated by H2AZ1 and NRF1.Molecular docking analysisTo further explore the most effective small-molecular drug targeting on RAC3 protein, we performed a molecular docking analysis of the RAC3 protein",Y
39269596,,"Liquid-liquid phase separation-related genes associated with prognosis, tumor microenvironment characteristics, and tumor cell features in bladder cancer.",2025,extracted,high,abstract_window,3,KLK5|MOGAT2|S100A7,"This study aimed to explore the Liquid-liquid phase separation (LLPS)-related genes associated with the prognosis of bladder cancer (BCa) and assess the potential application of LLPS-related prognostic signature for predicting prognosis in BCa patients.Clinical information and transcriptome data of BCa patients were extracted from the Cancer Genome Atlas-BLCA (TCGA-BLCA) database and the GSE13507 database. Furthermore, 108 BCa patients who received treatment at our institution were subjected to ",N
39368544,,A modified model of PANoptosisto identify prognosis and immunotherapy response in bladder cancer.,2024,extracted,high,abstract,5,TMPRSS4|TPST1|FOXD1|ELOVL4|EMP1,"By employing the least absolute shrinkage analysis, we were able to construct a risk model and single-cell sequencing analysis of differential genes in bladder cancer.Five differentially expressed genes (TMPRSS4, TPST1, FOXD1, ELOVL4, EMP1) associated with widespread apoptosis were identified as features for predicting the prognosis of bladder cancer patients.",N
39380003,PMC11460118,Dynamic landscape of m6A modifications and related post-transcriptional events in muscle-invasive bladder cancer.,2024,extracted,high,fulltext_window,11,FKBP10|EMP1|ZNF524|YPEL5|BTN2A1|DDA1|EIF3C|RPL13AP5|INPP1|APOL6|TMEM109,"lity. The end point of study was overall survival, which was calculated from the date of diagnosis to death or the date of last follow-up whichever came first. LASSO regression, a prevalent machine learning method, was employed to identify potential signature variables in Cox regression analysis, focusing on m6A-related genes that is genes with altered m6A site. This analysis was validated using 10-fold cross-validation. The variables with non-zero coefficients, satisfying the assumption of prop",Y
39392600,,Identification of RNA-binding protein RBMS3 as a potential biomarker for immunotherapy in bladder cancer.,2024,excluded,missing,none,0,,RBP risk-model gene members not provided except RBMS3,N
39603145,,Transcriptome-Based Network Analysis Related to Histone Deacetylase Genes and Identified EMP1 as a Potential Biomarker for Prognosis in Bladder Cancer.,2025,excluded,missing,none,0,,HDAC-cluster model gene members not provided except EMP1,N
39695796,PMC11657289,Prognostic feature based on androgen-responsive genes in bladder cancer and screening for potential targeted drugs.,2024,extracted,high,abstract_window,6,CDK6|FADS1|PGM3|SCD|PTK2B|TPD52,"Bladder cancer (BLCA) is a tumor that affects men more than women. The biological function and prognostic value of androgen-responsive genes (ARGs) in BLCA are currently unknown. To address this, we established an androgen signature to determine the prognosis of BLCA.Sequencing data for BLCA from the TCGA and GEO datasets were used for research. The tumor microenvironment (TME) was measured using Cibersort and ssGSEA. Prognosis-related genes were identified and a risk score model was constructed",Y
39739621,PMC11831474,Tertiary Lymphoid Structures are Linked to Enhanced Antitumor Immunity and Better Prognosis in Muscle-Invasive Bladder Cancer.,2025,extracted,high,fulltext,7,CXCL13|CCL19|MS4A1|LTB|CD37|CORO1A|IKZF1,"In this study, we identified a novel TLS‐specific gene signature, RMYY‐TLS, which includes CXCL13, CCL19, MS4A1, LTB, CD37, CORO1A, and IKZF1.",Y
39769061,PMC11676541,Loss of Glutathione-S-Transferase Theta 2 (GSTT2) Modulates the Tumor Microenvironment and Response to BCG Immunotherapy in a Murine Orthotopic Model of Bladder Cancer.,2024,extracted,high,fulltext_window,4,RPPH1|TUBB3|HMGA2|AHNAK,"//gepia.cancer-pku.cn/index.html.22.Abdel-Hafiz H.A., Kailasam Mani S.K., Huang W., Gouin K.H., 3rd, Chang Y., Xiao T., Ma Q., Li Z., Knott S.R.V., Theodorescu D. Single-cell profiling of murine bladder cancer identifies sex-specific transcriptional signatures with prognostic relevance. iScience. 2023;26:107703. doi: 10.1016/j.isci.2023.107703.23.Lin Y.H., Chen C.W., Cheng H.C., Liu C.J., Chung S.T., Hsieh M.C., Tseng P.L., Tsai W.H., Wu T.S., Lai M.D., et al. Inhibition of lncRNA RPPH1 activity",Y
40018511,PMC11866393,Single-cell Analysis Highlights Anti-apoptotic Subpopulation Promoting Malignant Progression and Predicting Prognosis in Bladder Cancer.,2025,extracted,high,abstract_window,4,CEBPB|EGR1|ELF3|EZH2,"s explored the functional heterogeneity between malignant epithelial cell subpopulations. Cellchat was used to infer intercellular communication patterns. Co-expression analysis identified co-expression modules of the anti-apoptotic subpopulation. A prognostic model was constructed using hub genes and Cox regression, and nomogram analysis was performed. The tumor immune dysfunction and exclusion (TIDE) algorithm was applied to predict immunotherapy response.Organoids recapitulated the cellular a",Y
40097551,PMC11914693,Comprehensive analysis of RNA methylation-related genes to identify molecular cluster for predicting prognosis and immune profiles in bladder cancer.,2025,extracted,high,fulltext_window,3,EGFR|S100A9|FN1,"1007/s12011-022-03510-136471209Zhang, L. et al. Fibronectin 1 as a key gene in the genesis and progression of cadmium-related bladder cancer. Biol. Trace Elem. Res.201, 4349–4359 (2023).36471209 10.1007/s12011-022-03510-127.KimWTS100A9 and EGFR gene signatures predict disease progression in muscle invasive bladder cancer patients after chemotherapyAnn. Oncol.20142597497910.1093/annonc/mdu03724631944Kim, W. T. et al. S100A9 and EGFR gene signatures predict disease progression in muscle invasive b",Y
40405063,PMC12096726,Novel Gene expression-based Risk Stratification tool predicts recurrence in Non-muscle invasive Bladder cancer.,2025,extracted,high,fulltext_window,12,H3C8|H3C13|H3C10|H3C3|H3C4|H2BC6|H2AC4|H2BC3|H2AB1|H2AC16|H2AC11|H2BC11,"0 resampling iterations of training and test sets (Supplementary Fig. 2). Model calibration parameters and performance matrices are given in supplementary Table 1.Pathway analysis of differentially expressed genesTo identify functional aspect of the signature, pathway analysis was performed. Significant upregulated KEGG pathways in patients with recurrence include “Systemic Lupus Erythematosus”, “Alcoholism”, “Neutrophil Extracellular Trap Formation”, “Transcriptional Misregulation in Cancer”, “",Y
40589607,PMC12206902,Machine Learning and Experimental Validation Reveal MYH11 as a Novel Prognostic Biomarker and Therapeutic Target in Bladder Cancer.,2025,extracted,high,fulltext_window,8,CASQ2|DTNA|FLNC|KCNMA1|MYH11|PLN|PRKG1|SGCD,"cal processes (BP), and molecular function (MF) involved in candidate genes. (I) KEGG enrichment analysis showing the signaling pathways involved in candidate genes. (J) PPI network of candidate genes and 15 hub genes.Construction of Prognostic Gene Signatures by Machine Learning AlgorithmsNext, we developed prognostic genes from 15 hub genes through an integrated approach of univariate Cox regression analysis and machine learning algorithms. The univariate analysis identified 8 genes noticeably",Y
