pmid,doi,pmcid,in_pmc,in_epmc,open_access,fulltext_urls,supplementary_urls,supplementary_count,error
34901008,10.3389/fcell.2021.762478,PMC8657403,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fcell.2021.762478/pdf:Open access | https://doi.org/10.3389/fcell.2021.762478:Subscription required | https://europepmc.org/articles/PMC8657403:Open access | https://europepmc.org/articles/PMC8657403?pdf=render:Open access,,0,
35265613,10.3389/fcell.2022.810272,PMC8899848,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fcell.2022.810272/pdf:Open access | https://doi.org/10.3389/fcell.2022.810272:Subscription required | https://europepmc.org/articles/PMC8899848:Open access | https://europepmc.org/articles/PMC8899848?pdf=render:Open access,,0,
35593896,10.1007/s11033-022-07563-2,,N,N,N,https://doi.org/10.1007/s11033-022-07563-2:Subscription required,,0,
35669725,10.1155/2022/2449449,PMC9165618,Y,Y,Y,https://downloads.hindawi.com/journals/bmri/2022/2449449.pdf:Open access | https://doi.org/10.1155/2022/2449449:Subscription required | https://europepmc.org/articles/PMC9165618:Open access | https://europepmc.org/articles/PMC9165618?pdf=render:Open access,,0,
35784457,10.3389/fcell.2022.915798,PMC9247554,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fcell.2022.915798/pdf:Open access | https://doi.org/10.3389/fcell.2022.915798:Subscription required | https://europepmc.org/articles/PMC9247554:Open access | https://europepmc.org/articles/PMC9247554?pdf=render:Open access,,0,
35804889,10.3390/cancers14133118,PMC9264990,Y,Y,Y,https://www.mdpi.com/2072-6694/14/13/3118/pdf?version=1656145896:Open access | https://doi.org/10.3390/cancers14133118:Subscription required | https://europepmc.org/articles/PMC9264990:Open access | https://europepmc.org/articles/PMC9264990?pdf=render:Open access,,0,
35846128,10.3389/fgene.2022.928778,PMC9279929,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fgene.2022.928778/pdf:Open access | https://doi.org/10.3389/fgene.2022.928778:Subscription required | https://europepmc.org/articles/PMC9279929:Open access | https://europepmc.org/articles/PMC9279929?pdf=render:Open access,,0,
35958598,10.3389/fimmu.2022.931906,PMC9360490,Y,Y,Y,https://doi.org/10.3389/fimmu.2022.931906:Subscription required | https://europepmc.org/articles/PMC9360490:Open access | https://europepmc.org/articles/PMC9360490?pdf=render:Open access,,0,
36300085,10.3389/fonc.2022.1018285,PMC9589509,Y,Y,Y,https://doi.org/10.3389/fonc.2022.1018285:Open access | https://doi.org/10.3389/fonc.2022.1018285:Subscription required | https://europepmc.org/articles/PMC9589509:Open access | https://europepmc.org/articles/PMC9589509?pdf=render:Open access,,0,
36358715,10.3390/cancers14215295,PMC9654607,Y,Y,Y,https://www.mdpi.com/2072-6694/14/21/5295/pdf?version=1667879778:Open access | https://doi.org/10.3390/cancers14215295:Subscription required | https://europepmc.org/articles/PMC9654607:Open access | https://europepmc.org/articles/PMC9654607?pdf=render:Open access,,0,
36428492,10.3390/biomedicines10112925,PMC9687567,Y,Y,Y,https://doi.org/10.3390/biomedicines10112925:Open access | https://doi.org/10.3390/biomedicines10112925:Subscription required | https://europepmc.org/articles/PMC9687567:Open access | https://europepmc.org/articles/PMC9687567?pdf=render:Open access,,0,
36468020,10.3389/fgene.2022.1047004,PMC9709473,Y,Y,Y,https://doi.org/10.3389/fgene.2022.1047004:Subscription required | https://europepmc.org/articles/PMC9709473:Open access | https://europepmc.org/articles/PMC9709473?pdf=render:Open access,,0,
36505302,,PMC9730090,Y,Y,N,https://europepmc.org/articles/PMC9730090:Free | https://europepmc.org/articles/PMC9730090?pdf=render:Free,,0,
37138324,10.1186/s12967-023-04151-1,PMC10155334,Y,Y,Y,https://translational-medicine.biomedcentral.com/counter/pdf/10.1186/s12967-023-04151-1:Open access | https://doi.org/10.1186/s12967-023-04151-1:Subscription required | https://europepmc.org/articles/PMC10155334:Open access | https://europepmc.org/articles/PMC10155334?pdf=render:Open access,,0,
37455996,10.1016/j.heliyon.2023.e17690,PMC10338970,Y,Y,Y,https://doi.org/10.1016/j.heliyon.2023.e17690:Subscription required | https://europepmc.org/articles/PMC10338970:Open access | https://europepmc.org/articles/PMC10338970?pdf=render:Open access,,0,
37701108,10.21037/tcr-23-98,PMC10493797,Y,Y,Y,https://doi.org/10.21037/tcr-23-98:Subscription required | https://europepmc.org/articles/PMC10493797:Open access | https://europepmc.org/articles/PMC10493797?pdf=render:Open access,,0,
37740761,10.1007/s00432-023-05266-0,PMC11797741,Y,Y,N,https://www.ncbi.nlm.nih.gov/pmc/articles/11797741:Free | https://doi.org/10.1007/s00432-023-05266-0:Subscription required | https://europepmc.org/articles/PMC11797741:Free | https://europepmc.org/articles/PMC11797741?pdf=render:Free | https://doi.org/10.1007/s00432-023-05266-0:Free,,0,
37780567,10.3389/fmed.2023.1193133,PMC10536175,Y,Y,Y,https://doi.org/10.3389/fmed.2023.1193133:Subscription required | https://europepmc.org/articles/PMC10536175:Open access | https://europepmc.org/articles/PMC10536175?pdf=render:Open access,,0,
38017469,10.1186/s12935-023-03160-w,PMC10683108,Y,Y,Y,https://cancerci.biomedcentral.com/counter/pdf/10.1186/s12935-023-03160-w:Open access | https://doi.org/10.1186/s12935-023-03160-w:Subscription required | https://europepmc.org/articles/PMC10683108:Open access | https://europepmc.org/articles/PMC10683108?pdf=render:Open access,,0,
38172584,10.1038/s41598-023-50740-x,PMC10764961,Y,Y,Y,https://www.nature.com/articles/s41598-023-50740-x.pdf:Open access | https://www.nature.com/articles/s41598-023-50740-x.pdf:Open access | https://www.nature.com/articles/s41598-023-50740-x.pdf:Open access | https://doi.org/10.1038/s41598-023-50740-x:Subscription required | https://europepmc.org/articles/PMC10764961:Open access | https://europepmc.org/articles/PMC10764961?pdf=render:Open access,,0,
38183115,10.1186/s12967-023-04815-y,PMC10768331,Y,Y,Y,https://translational-medicine.biomedcentral.com/counter/pdf/10.1186/s12967-023-04815-y:Open access | https://doi.org/10.1186/s12967-023-04815-y:Subscription required | https://europepmc.org/articles/PMC10768331:Open access | https://europepmc.org/articles/PMC10768331?pdf=render:Open access,,0,
38217031,10.1186/s40001-024-01642-9,PMC10785515,Y,Y,Y,https://eurjmedres.biomedcentral.com/counter/pdf/10.1186/s40001-024-01642-9:Open access | https://doi.org/10.1186/s40001-024-01642-9:Subscription required | https://europepmc.org/articles/PMC10785515:Open access | https://europepmc.org/articles/PMC10785515?pdf=render:Open access,,0,
38282152,10.1002/jgm.3651,,N,N,N,https://doi.org/10.1002/jgm.3651:Subscription required,,0,
38333832,10.1016/j.heliyon.2024.e24858,PMC10850424,Y,Y,Y,https://doi.org/10.1016/j.heliyon.2024.e24858:Free | https://doi.org/10.1016/j.heliyon.2024.e24858:Subscription required | https://europepmc.org/articles/PMC10850424:Open access | https://europepmc.org/articles/PMC10850424?pdf=render:Open access,,0,
38356551,10.1016/j.heliyon.2024.e25573,PMC10864973,Y,Y,Y,https://doi.org/10.1016/j.heliyon.2024.e25573:Subscription required | https://europepmc.org/articles/PMC10864973:Open access | https://europepmc.org/articles/PMC10864973?pdf=render:Open access,,0,
38387404,10.1016/j.ebiom.2024.105032,PMC10897900,Y,Y,Y,https://doi.org/10.1016/j.ebiom.2024.105032:Subscription required | https://europepmc.org/articles/PMC10897900:Open access | https://europepmc.org/articles/PMC10897900?pdf=render:Open access,,0,
38493947,10.1016/j.tox.2024.153782,,N,N,N,https://doi.org/10.1016/j.tox.2024.153782:Subscription required,,0,
38570787,10.1186/s12935-024-03258-9,PMC10993528,Y,Y,Y,https://cancerci.biomedcentral.com/counter/pdf/10.1186/s12935-024-03258-9:Open access | https://cancerci.biomedcentral.com/counter/pdf/10.1186/s12935-024-03258-9:Open access | https://doi.org/10.1186/s12935-024-03258-9:Subscription required | https://europepmc.org/articles/PMC10993528:Open access | https://europepmc.org/articles/PMC10993528?pdf=render:Open access,,0,
39269596,10.1007/s12094-024-03719-7,,N,N,N,https://doi.org/10.1007/s12094-024-03719-7:Subscription required,,0,
39368544,10.1016/j.biocel.2024.106672,,N,N,N,https://doi.org/10.1016/j.biocel.2024.106672:Subscription required,,0,
39380003,10.1186/s12967-024-05701-x,PMC11460118,Y,Y,Y,https://doi.org/10.1186/s12967-024-05701-x:Subscription required | https://europepmc.org/articles/PMC11460118:Open access | https://europepmc.org/articles/PMC11460118?pdf=render:Open access,,0,
39392600,10.3233/cbm-230489,,N,N,N,https://doi.org/10.3233/CBM-230489:Subscription required,,0,
39603145,10.1016/j.clgc.2024.102262,,N,N,N,https://doi.org/10.1016/j.clgc.2024.102262:Subscription required,,0,
39695796,10.1186/s13040-024-00377-x,PMC11657289,Y,Y,Y,https://doi.org/10.1186/s13040-024-00377-x:Subscription required | https://europepmc.org/articles/PMC11657289:Open access | https://europepmc.org/articles/PMC11657289?pdf=render:Open access,,0,
39739621,10.1002/advs.202410998,PMC11831474,Y,Y,Y,https://doi.org/10.1002/advs.202410998:Subscription required | https://europepmc.org/articles/PMC11831474:Open access | https://europepmc.org/articles/PMC11831474?pdf=render:Open access,,0,
39769061,10.3390/ijms252413296,PMC11676541,Y,Y,Y,https://doi.org/10.3390/ijms252413296:Subscription required | https://europepmc.org/articles/PMC11676541:Open access | https://europepmc.org/articles/PMC11676541?pdf=render:Open access,,0,
40018511,10.1177/11769351251323569,PMC11866393,Y,Y,Y,https://doi.org/10.1177/11769351251323569:Free | https://doi.org/10.1177/11769351251323569:Subscription required | https://europepmc.org/articles/PMC11866393:Open access | https://europepmc.org/articles/PMC11866393?pdf=render:Open access,,0,
40097551,10.1038/s41598-025-93674-2,PMC11914693,Y,Y,Y,https://doi.org/10.1038/s41598-025-93674-2:Free | https://doi.org/10.1038/s41598-025-93674-2:Subscription required | https://europepmc.org/articles/PMC11914693:Open access | https://europepmc.org/articles/PMC11914693?pdf=render:Open access,,0,
40405063,10.1186/s12885-025-14273-y,PMC12096726,Y,Y,Y,https://doi.org/10.1186/s12885-025-14273-y:Subscription required | https://europepmc.org/articles/PMC12096726:Open access | https://europepmc.org/articles/PMC12096726?pdf=render:Open access,,0,
40589607,10.2147/jir.s519719,PMC12206902,Y,Y,Y,https://doi.org/10.2147/JIR.S519719:Subscription required | https://europepmc.org/articles/PMC12206902:Open access | https://europepmc.org/articles/PMC12206902?pdf=render:Open access,,0,
40626022,10.3389/fmolb.2025.1602700,PMC12229847,Y,Y,Y,https://doi.org/10.3389/fmolb.2025.1602700:Subscription required | https://europepmc.org/articles/PMC12229847:Open access | https://europepmc.org/articles/PMC12229847?pdf=render:Open access,,0,
40631135,10.1101/2025.06.28.662140,PMC12236773,Y,Y,Y,https://doi.org/10.1101/2025.06.28.662140:Subscription required | https://europepmc.org/articles/PMC12236773:Open access | https://europepmc.org/articles/PMC12236773?pdf=render:Open access,,0,
40703521,10.3389/fimmu.2025.1604758,PMC12283629,Y,Y,Y,https://doi.org/10.3389/fimmu.2025.1604758:Subscription required | https://europepmc.org/articles/PMC12283629:Open access | https://europepmc.org/articles/PMC12283629?pdf=render:Open access,,0,
40867253,10.3390/cancers17162624,PMC12384837,Y,Y,Y,https://doi.org/10.3390/cancers17162624:Open access | https://doi.org/10.3390/cancers17162624:Subscription required | https://europepmc.org/articles/PMC12384837:Open access | https://europepmc.org/articles/PMC12384837?pdf=render:Open access,,0,
40916434,10.2174/0109298665403178250806111943,,N,N,N,https://doi.org/10.2174/0109298665403178250806111943:Subscription required,,0,
40918470,10.32604/or.2025.064331,PMC12408864,Y,Y,Y,https://doi.org/10.32604/or.2025.064331:Subscription required | https://europepmc.org/articles/PMC12408864:Open access | https://europepmc.org/articles/PMC12408864?pdf=render:Open access,,0,
40994220,10.1002/mc.70042,,N,N,N,https://doi.org/10.1002/mc.70042:Subscription required,,0,
41137061,10.1186/s12935-025-04009-0,PMC12553166,Y,Y,Y,https://doi.org/10.1186/s12935-025-04009-0:Subscription required | https://europepmc.org/articles/PMC12553166:Open access | https://europepmc.org/articles/PMC12553166?pdf=render:Open access,,0,
41144872,10.1097/ju.0000000000004828,,N,N,N,https://doi.org/10.1097/JU.0000000000004828:Subscription required,,0,
41153362,10.3390/genes16101146,PMC12563593,Y,Y,Y,https://doi.org/10.3390/genes16101146:Subscription required | https://europepmc.org/articles/PMC12563593:Open access | https://europepmc.org/articles/PMC12563593?pdf=render:Open access,,0,
41388608,10.1002/2211-5463.70179,PMC13238752,Y,Y,Y,https://doi.org/10.1002/2211-5463.70179:Subscription required | https://europepmc.org/articles/PMC13238752:Open access | https://europepmc.org/articles/PMC13238752?pdf=render:Open access,,0,
41507856,10.1186/s12894-026-02046-z,PMC12882559,Y,Y,Y,https://doi.org/10.1186/s12894-026-02046-z:Subscription required | https://europepmc.org/articles/PMC12882559:Open access | https://europepmc.org/articles/PMC12882559?pdf=render:Open access,,0,
41582171,10.1186/s40246-026-00918-x,PMC12914921,Y,Y,Y,https://doi.org/10.1186/s40246-026-00918-x:Subscription required | https://europepmc.org/articles/PMC12914921:Open access | https://europepmc.org/articles/PMC12914921?pdf=render:Open access,,0,
41668898,10.1097/cu9.0000000000000306,PMC12885747,Y,Y,Y,https://doi.org/10.1097/CU9.0000000000000306:Subscription required | https://europepmc.org/articles/PMC12885747:Open access | https://europepmc.org/articles/PMC12885747?pdf=render:Open access,,0,
41685329,10.3389/fimmu.2026.1710823,PMC12891155,Y,Y,Y,https://doi.org/10.3389/fimmu.2026.1710823:Subscription required | https://europepmc.org/articles/PMC12891155:Open access | https://europepmc.org/articles/PMC12891155?pdf=render:Open access,,0,
41715136,10.1186/s12967-026-07857-0,PMC13032607,Y,Y,Y,https://doi.org/10.1186/s12967-026-07857-0:Subscription required | https://europepmc.org/articles/PMC13032607:Open access | https://europepmc.org/articles/PMC13032607?pdf=render:Open access,,0,
41727459,10.3389/fimmu.2026.1561666,PMC12920588,Y,Y,Y,https://doi.org/10.3389/fimmu.2026.1561666:Subscription required | https://europepmc.org/articles/PMC12920588:Open access | https://europepmc.org/articles/PMC12920588?pdf=render:Open access,,0,
41794187,10.1016/j.taap.2026.117784,,N,N,N,https://doi.org/10.1016/j.taap.2026.117784:Subscription required,,0,
41836296,10.3389/fcell.2026.1732999,PMC12982390,Y,Y,Y,https://doi.org/10.3389/fcell.2026.1732999:Subscription required | https://europepmc.org/articles/PMC12982390:Open access | https://europepmc.org/articles/PMC12982390?pdf=render:Open access,,0,
41862905,10.1186/s12967-026-08010-7,PMC13126897,Y,Y,Y,https://doi.org/10.1186/s12967-026-08010-7:Subscription required | https://europepmc.org/articles/PMC13126897:Open access | https://europepmc.org/articles/PMC13126897?pdf=render:Open access,,0,
42164400,10.21037/tau-2025-1-888,PMC13184187,Y,Y,Y,https://doi.org/10.21037/tau-2025-1-888:Subscription required | https://europepmc.org/articles/PMC13184187:Open access | https://europepmc.org/articles/PMC13184187?pdf=render:Open access,,0,
42220482,10.3389/fimmu.2026.1797389,PMC13218921,Y,Y,Y,https://doi.org/10.3389/fimmu.2026.1797389:Subscription required | https://europepmc.org/articles/PMC13218921:Open access | https://europepmc.org/articles/PMC13218921?pdf=render:Open access,,0,
42251607,10.1007/s12672-026-05387-1,PMC13309580,Y,Y,Y,https://doi.org/10.1007/s12672-026-05387-1:Subscription required | https://europepmc.org/articles/PMC13309580:Open access | https://europepmc.org/articles/PMC13309580?pdf=render:Open access,,0,
42279297,10.3390/cancers18111713,PMC13255594,Y,Y,Y,https://doi.org/10.3390/cancers18111713:Subscription required | https://europepmc.org/articles/PMC13255594:Open access | https://europepmc.org/articles/PMC13255594?pdf=render:Open access,,0,
42319469,10.1007/s00438-026-02472-6,,N,N,N,https://doi.org/10.1007/s00438-026-02472-6:Subscription required,,0,
42371282,10.1007/s12672-026-05338-w,,N,N,N,https://doi.org/10.1007/s12672-026-05338-w:Subscription required,,0,
42436233,10.1038/s41598-026-61819-6,,N,N,N,https://doi.org/10.1038/s41598-026-61819-6:Subscription required,,0,
42555166,10.1002/mc.70162,,N,N,N,https://doi.org/10.1002/mc.70162:Subscription required,,0,
